gene
ENSG00000000938
ENSG00000001561
ENSG00000002586
ENSG00000003147
ENSG00000003393
ENSG00000003436
ENSG00000004139
ENSG00000004399
ENSG00000004455
ENSG00000004468
ENSG00000004478
ENSG00000004809
ENSG00000004866
ENSG00000004939
ENSG00000005020
ENSG00000005187
ENSG00000005189
ENSG00000005249
ENSG00000005379
ENSG00000005381
ENSG00000005844
ENSG00000005961
ENSG00000006282
ENSG00000006459
ENSG00000006534
ENSG00000006756
ENSG00000007038
ENSG00000007062
ENSG00000007237
ENSG00000007264
ENSG00000007312
ENSG00000007968
ENSG00000008130
ENSG00000008283
ENSG00000008394
ENSG00000008405
ENSG00000008441
ENSG00000008516
ENSG00000010278
ENSG00000010327
ENSG00000010610
ENSG00000010803
ENSG00000010810
ENSG00000010818
ENSG00000011028
ENSG00000011422
ENSG00000011426
ENSG00000011600
ENSG00000012048
ENSG00000012223
ENSG00000012779
ENSG00000012817
ENSG00000013016
ENSG00000013364
ENSG00000013725
ENSG00000014257
ENSG00000017483
ENSG00000018189
ENSG00000018280
ENSG00000019582
ENSG00000019991
ENSG00000020181
ENSG00000020633
ENSG00000021762
ENSG00000022267
ENSG00000022567
ENSG00000023171
ENSG00000023191
ENSG00000023445
ENSG00000023902
ENSG00000023909
ENSG00000024422
ENSG00000025039
ENSG00000025434
ENSG00000025708
ENSG00000026025
ENSG00000026508
ENSG00000026652
ENSG00000026751
ENSG00000027075
ENSG00000027697
ENSG00000028137
ENSG00000028277
ENSG00000029153
ENSG00000029534
ENSG00000029993
ENSG00000030419
ENSG00000030582
ENSG00000031081
ENSG00000033627
ENSG00000033867
ENSG00000035403
ENSG00000035720
ENSG00000035862
ENSG00000038382
ENSG00000038427
ENSG00000041353
ENSG00000042493
ENSG00000042980
ENSG00000044115
ENSG00000044574
ENSG00000047365
ENSG00000047597
ENSG00000047644
ENSG00000048052
ENSG00000049089
ENSG00000049239
ENSG00000049323
ENSG00000049860
ENSG00000050344
ENSG00000050405
ENSG00000050767
ENSG00000051108
ENSG00000051128
ENSG00000051341
ENSG00000052126
ENSG00000052749
ENSG00000052795
ENSG00000053918
ENSG00000054523
ENSG00000054654
ENSG00000054967
ENSG00000054983
ENSG00000055118
ENSG00000055163
ENSG00000056558
ENSG00000057657
ENSG00000057935
ENSG00000058091
ENSG00000058453
ENSG00000058668
ENSG00000058866
ENSG00000059377
ENSG00000059378
ENSG00000059588
ENSG00000059728
ENSG00000059804
ENSG00000060138
ENSG00000060558
ENSG00000060982
ENSG00000061918
ENSG00000062524
ENSG00000062716
ENSG00000064115
ENSG00000064201
ENSG00000064225
ENSG00000064393
ENSG00000064601
ENSG00000064651
ENSG00000064666
ENSG00000064687
ENSG00000065054
ENSG00000065154
ENSG00000065328
ENSG00000065675
ENSG00000065809
ENSG00000065923
ENSG00000066056
ENSG00000066279
ENSG00000066294
ENSG00000066336
ENSG00000066926
ENSG00000067048
ENSG00000067057
ENSG00000067082
ENSG00000067836
ENSG00000068024
ENSG00000068489
ENSG00000069020
ENSG00000069188
ENSG00000069399
ENSG00000069493
ENSG00000069667
ENSG00000069869
ENSG00000069966
ENSG00000069974
ENSG00000069998
ENSG00000070081
ENSG00000070182
ENSG00000070190
ENSG00000070214
ENSG00000070371
ENSG00000070404
ENSG00000070614
ENSG00000070882
ENSG00000070961
ENSG00000071073
ENSG00000071205
ENSG00000071242
ENSG00000071246
ENSG00000071575
ENSG00000071794
ENSG00000071967
ENSG00000072071
